"id","criteria","excellent_description","good_description","fair_description","poor_description","very_poor_description","readiness_level_id"
"1","Scientific Research Basis","Comprehensive understanding and documentation of basic scientific principles underpinning the technology.","Good understanding and documentation of basic principles.","Basic understanding of principles, with some documentation gaps.","Limited understanding of principles, poor documentation.","No understanding or documentation of scientific principles.","1"
"2","Innovativeness","Highly innovative idea with potential for technological breakthrough.","Innovative idea with clear potential.","Moderately innovative idea with some potential.","Limited innovation or potential.","Lacks innovation or viability.","1"
"3","Concept Originality","Concept is novel and demonstrates original thinking.","Concept has some elements of novelty and originality.","Concept is somewhat derivative, but has unique aspects.","Concept is largely derivative with little originality.","Concept lacks originality, heavily based on existing ideas.","1"
"4","Theoretical Modeling","Comprehensive and well-articulated theoretical modeling.","Good theoretical modeling with minor gaps.","Basic theoretical modeling with notable gaps.","Poor or incomplete theoretical modeling.","No theoretical modeling or understanding.","1"
"5","Feasibility Review","Extensive review of feasibility, supported by initial data or analysis.","Good review of feasibility with some supporting data.","Basic feasibility review, lacking depth.","Limited or superficial feasibility review.","No review or consideration of feasibility.","1"
"6","Peer Review and Feedback","Concept has been peer-reviewed and received positive feedback.","Concept has undergone some peer review with constructive feedback.","Limited peer review, mixed feedback.","Minimal or no peer review, negative feedback.","No peer review or engagement with peers.","1"
"7","Concept Development","Concept is fully developed with clear theoretical underpinnings and potential applications.","Concept is well-developed with identified applications.","Concept is somewhat developed but lacks clarity in applications.","Concept is poorly developed with vague applications.","Concept is undeveloped or lacks feasibility.","2"
"8","Innovation and Originality","Concept demonstrates high innovation and originality, addressing a unique problem or need.","Concept is innovative with some original elements.","Concept shows moderate innovation and originality.","Concept is somewhat innovative but largely derivative.","Concept lacks innovation and is highly derivative.","2"
"9","Feasibility Analysis","Detailed analysis conducted, showing strong feasibility of the concept.","Good feasibility analysis with positive indications.","Basic feasibility analysis conducted, some positive indications.","Limited feasibility analysis, many uncertainties.","No feasibility analysis conducted or concept infeasible.","2"
"10","Technical Approach","Well-defined technical approach for concept development.","Good technical approach, but with minor uncertainties.","Basic technical approach, lacks detail or clarity.","Poorly defined or flawed technical approach.","No technical approach defined or approach is infeasible.","2"
"11","Research and Literature Review","Extensive research and literature review supporting concept development.","Good research and literature review conducted.","Adequate research conducted, but lacks depth.","Limited research and literature review.","No research or literature review conducted.","2"
"12","Peer Engagement and Feedback","Concept has been shared with peers and received positive, constructive feedback.","Concept shared with peers, feedback mostly positive.","Concept shared, but feedback is mixed or limited.","Minimal peer engagement, feedback is negative or lacking.","No peer engagement or feedback sought.","2"
"13","Experimental Validation","Proof of concept validated with comprehensive experiments.","Proof of concept validated with good results.","Proof of concept somewhat validated but lacks robustness.","Limited validation of proof of concept.","No validation of proof of concept.","3"
"14","Technical Feasibility","Feasibility demonstrated with strong positive indicators.","Feasibility demonstrated with good indicators.","Feasibility uncertain with some positive indicators.","Feasibility questionable with major challenges.","Feasibility not demonstrated or fundamentally flawed.","3"
"15","Research & Development","Comprehensive R&D efforts with clear, promising outcomes.","Good R&D efforts with positive outcomes.","Moderate R&D efforts with some positive results.","Limited R&D efforts with unclear outcomes.","Minimal or no R&D efforts.","3"
"16","Technical Challenges","Technical challenges identified and solutions proposed.","Technical challenges identified with some solutions.","Some technical challenges identified but lack solutions.","Many technical challenges with no clear solutions.","Technical challenges not identified or addressed.","3"
"17","Documentation & Analysis","Extensive documentation and thorough analysis.","Good documentation and analysis.","Adequate documentation and analysis.","Limited documentation and analysis.","Poor or no documentation and analysis.","3"
"18","Stakeholder Feedback","Positive feedback and support from relevant stakeholders.","Generally positive feedback from stakeholders.","Mixed feedback from stakeholders.","Negative feedback or concerns from stakeholders.","No feedback sought or major concerns raised.","3"
"19","Lab Validation Success","Technology validated in lab with excellent results.","Technology validated in lab with good results.","Technology partially validated in lab with fair results.","Limited success in lab validation.","No success in lab validation.","4"
"20","Technical Maturity","High level of technical maturity demonstrated.","Good level of technical maturity.","Moderate technical maturity.","Low technical maturity.","Very low or no technical maturity.","4"
"21","Problem-Solving","Effective solutions to all identified problems.","Good solutions to most problems.","Solutions to some problems, others pending.","Limited problem-solving, many issues unresolved.","No effective problem-solving, critical issues unresolved.","4"
