"id","start_range","end_range","readiness_level_id","description"
"1",25,30,"1"," The concept is exceptionally well-articulated, highly innovative, and has a strong theoretical foundation. It demonstrates comprehensive understanding and documentation of basic principles, backed by an extensive literature review and positive peer validation."
"2",19,24,"1"," The concept is well-developed with clear innovation and a sound theoretical basis. It shows a good understanding of basic principles and has been positively reviewed by peers, though minor improvements may be needed."
"3",13,18,"1"," The concept shows moderate development with some innovative aspects. The theoretical grounding and understanding of basic principles are present but not fully developed. Peer feedback is mixed, and further refinement is required."
"4",7,12,"1","The concept is underdeveloped with limited innovation and theoretical grounding. Basic principles are poorly identified, and the literature review is insufficient. Peer feedback is limited or negative."
"5",6,6,"1","The concept lacks a clear identification of basic principles, shows no innovation or theoretical grounding, and has not undergone a meaningful literature review. There is a lack of peer engagement or significantly negative feedback."
"6",25,30,"2","The technology concept is exceptionally well-developed, highly innovative, and original. It has a well-defined technical approach, supported by extensive research and positive peer feedback, indicating strong feasibility."
"7",19,24,"2","The concept is well-developed with clear innovation. It has a solid technical approach and good feasibility, supported by substantial research and mostly positive peer feedback."
"8",13,18,"2","Moderately developed concept with some innovation and originality. The technical approach and feasibility have been somewhat established, but there are notable gaps or uncertainties, and peer feedback is mixed."
"9",7,12,"2","Limited development of the concept, with minimal innovation. The technical approach is poorly defined or flawed, feasibility is uncertain, and there's limited or negative peer feedback."
"10",6,6,"2","The concept is poorly developed or undeveloped, lacking in innovation and originality. There's no clear technical approach or feasibility analysis, and no peer engagement or feedback."
"11",25,30,"3","The technology at this stage has a well-validated experimental proof of concept. Experiments are comprehensive, showing clear, reliable results that validate the concept effectively. The technology demonstrates high feasibility and robustness in these early tests, indicating a strong foundation for further development."
"12",19,24,"3","The proof of concept is generally well-validated with good experimental results. While there may be some areas of uncertainty, overall, the experiments provide solid evidence supporting the feasibility and functionality of the concept. This score suggests a good level of readiness for moving towards more developed stages."
"13",13,18,"3","The proof of concept has been moderately validated, but there are notable gaps or inconsistencies in the experimental results. While the concept shows promise, further experimentation and refinement are necessary to address these gaps and to solidify the feasibility of the technology."
"14",7,12,"3","The experimental validation of the concept is limited and shows significant issues or uncertainties. The results are not sufficiently reliable to confirm the concept's feasibility, indicating a need for substantial additional research and development."
"15",6,6,"3","The proof of concept lacks significant validation at this stage. Experimental results are either absent, unreliable, or clearly demonstrate the concept's flaws or infeasibility. This score indicates a need for a major reassessment or overhaul of the concept."
"16",25,30,"4","The technology has been validated in the lab environment with exceptional results, demonstrating a high level of technical maturity. There is evidence of successful problem-solving, a well-developed prototype, excellent project planning, and strong stakeholder involvement. This score range indicates that the technology is robust, well-conceived, and ready for the next stage of development."
"17",19,24,"4","The technology is reasonably validated in the lab with good results. Technical maturity is evident, though minor improvements may be needed. Problems have been effectively solved, the prototype is well-developed, and project planning is sound. Stakeholder involvement is good, providing constructive feedback and support. This score suggests that the technology is on a solid path, with some areas requiring minor refinements."
"18",13,18,"4","The technology has achieved moderate validation in the lab, but notable gaps or issues exist. Technical maturity is moderate, and some problems remain unsolved. The prototype needs improvement, and project planning lacks some critical details. Stakeholder involvement is present but not fully leveraged. This score indicates that while the technology has potential, significant work is still required."
"19",7,12,"4","Lab validation has been limited, revealing major technical issues or gaps in development. Technical maturity is low, many problems are unresolved, and the prototype is underdeveloped. Project planning is poor or incomplete, and stakeholder involvement is minimal or unproductive. This score range suggests that the technology faces substantial challenges and requires major revisions or a different approach."
"20",6,6,"4","The technology has failed in lab validation or shows very poor results, indicating very low or no technical maturity. Problem-solving is ineffective, and critical issues remain unresolved. There is no viable prototype, project planning is either non-existent or fundamentally flawed, and there is a lack of meaningful stakeholder involvement. This score signifies that the technology is not viable in its current form and needs a complete overhaul or reevaluation."
"21",25,30,"5","At this score, the technology has been exceptionally validated in a relevant environment. It shows a high degree of reliability and performance consistent with the target environment. The results demonstrate clear evidence of technical feasibility, and the technology is nearing a state where it can be tested in an operational environment. The validation is supported by comprehensive data and analysis, indicating a strong likelihood of successful implementation in the next stages."
"22",19,24,"5","The technology validation in a relevant environment is substantial but may have minor limitations or areas requiring further refinement. The performance is largely consistent with expectations for the target environment, and key technical risks have been addressed. There's good evidence supporting the feasibility, but some additional testing or development may be needed to ensure full readiness for an operational environment."
"23",13,18,"5","At this level, the technology has been moderately validated in a relevant environment, but significant work remains. There are notable performance discrepancies or technical issues that need to be resolved. The technology shows potential, but there are risks or uncertainties that must be addressed before it can advance. Further testing and development are required to confirm feasibility and performance."
"24",7,12,"5","The technology has limited validation in a relevant environment. It underperforms or faces substantial technical challenges that question its feasibility in an operational environment. The data and analysis at this stage are insufficient to demonstrate readiness, indicating a need for significant revision and further development."
"25",6,6,"5","The technology has not been effectively validated in a relevant environment or has failed the validation tests. There's a lack of reliable data or evidence to support feasibility, and the technology is far from being ready for testing in an operational environment. This score indicates a fundamental reassessment or major redesign may be necessary."
"26",25,30,"6","The prototype excels in an operational environment, showing high functionality, reliability, and seamless integration with existing systems. It receives extremely positive feedback from users and demonstrates excellent scalability and sustainability. All technical and operational risks are effectively mitigated."
"27",19,24,"6","The prototype performs well overall with minor issues. It integrates well with existing systems, has good functionality and reliability, and receives positive user feedback. Scalability and sustainability are good, and most risks are well-managed."
"28",13,18,"6","The prototype shows fair performance but faces notable challenges. Integration with existing systems is moderate, and user feedback is mixed. Scalability and sustainability have some concerns, and risk mitigation is only moderately effective."
"29",7,12,"6","The prototype struggles in the operational environment, facing significant functionality, reliability, and integration issues. User feedback is negative, and the system shows poor scalability and sustainability. Significant risks are poorly managed or unaddressed."
"30",6,6,"6","The prototype fails to function in the operational environment. It is poorly integrated, faces very negative user feedback, and is neither scalable nor sustainable. Critical risks are not identified or mitigated, indicating a need for major reevaluation and redesign."
"31",25,30,"7","The system prototype is fully operational and demonstrates exemplary performance in an operational environment. It integrates seamlessly with existing systems, shows high reliability and robustness, receives highly positive user feedback, effectively resolves all problems, and exceeds all goals and objectives."
"32",19,24,"7","The prototype is operational with good overall performance. It integrates well, is generally reliable and robust, receives positive feedback, solves most problems, and achieves most goals, though some improvements are needed."
"33",13,18,"7","The prototype is operational but shows mixed performance. It faces integration challenges, has moderate reliability, receives mixed feedback, resolves some but not all problems, and meets some but not all goals."
"34",7,12,"7","The prototype underperforms and faces significant issues in operational environment testing. It poorly integrates with existing systems, is unreliable, receives negative feedback, has limited problem resolution, and fails to meet key goals."
"35",6,6,"7","The prototype fails to operate effectively in an operational environment. It does not integrate with existing systems, is highly unreliable, receives very negative feedback, fails to resolve critical problems, and does not achieve its intended goals and objectives."
"36",25,30,"8","The technology at this level is fully operational and meets all required specifications and standards. It has been thoroughly tested and qualified under real-world conditions, demonstrating high reliability and robustness. The system receives excellent user feedback, indicating strong acceptance and usability. This score suggests the technology is ready for full-scale production or deployment and is likely to perform reliably in the field."
"37",19,24,"8","The technology is mostly operational and meets most of the required specifications. It has been largely successful in tests and qualification, although minor issues may have been identified. Reliability is good, but some areas may need further improvement. User feedback is generally positive, indicating the system is nearly ready for widespread deployment, with some refinements needed."
"38",13,18,"8","The system is operational but has notable issues or shortcomings in meeting all specifications. Testing and qualification have revealed several areas that need improvement. Reliability and robustness are moderate, and user feedback indicates acceptance, but with reservations or suggestions for improvement. This score indicates the technology requires additional development before it is ready for full-scale deployment."
"39",7,12,"8","The system faces significant challenges in meeting operational requirements and specifications. Testing and qualification have revealed major deficiencies or areas that require substantial rework. Reliability is low, and user feedback is largely negative or highlights critical issues. This score suggests that the technology is not yet ready for deployment and needs major revisions and further development."
